highway,km,buraco,remendo,trinca,placa,drenagem
116,567.0,756,351,1321,54,783
116,568.0,324,675,1322,162,513
116,569.0,620,810,1322,54,567
116,570.0,809,567,1322,81,351
116,571.0,675,108,1323,162,809
116,572.0,81,108,1295,378,756
116,573.0,459,701,1349,189,540
116,574.0,1404,944,1321,243,999
116,575.0,1537,567,1323,27,756
116,576.0,701,432,1323,243,810
116,577.0,1024,243,1296,432,945
116,578.0,594,242,1322,243,756
116,579.0,188,108,1323,135,702
116,580.0,243,216,1322,54,729
116,581.0,1269,459,1348,162,702
116,582.0,890,998,1323,594,647
116,583.0,540,1025,1349,324,756
116,584.0,1457,1971,1321,81,891
116,585.0,567,1134,1295,404,999
116,586.0,458,540,1296,405,486
116,587.0,485,486,1322,540,729
116,588.0,1134,1295,1322,108,513
116,589.0,27,1080,1269,216,755
116,590.0,100,241,1127,288,174
116,591.0,660,479,960,179,440
116,592.0,840,1199,940,120,240
116,593.0,1079,600,960,140,659
116,594.0,160,140,959,100,300
116,595.0,920,659,940,140,280
116,596.0,320,340,959,499,560
116,597.0,620,200,940,319,380
116,598.0,300,579,940,300,660
116,599.0,1440,799,940,40,719
116,600.0,1039,1939,959,0,720
116,601.0,1000,2839,940,20,739
116,602.0,980,1338,940,60,700
116,603.0,1360,2018,939,80,580
116,604.0,840,2039,960,40,719
116,605.0,799,3059,939,0,740
116,606.0,540,1219,959,0,480
116,607.0,280,620,979,60,560
116,608.0,340,999,960,120,460
116,609.0,29,98,158,29,109
